"Ar";"Fylke";"Hovednaring";"Naring";"Naringshovedgruppe";"Naringsgruppe";"AntallTilsyn";"AntallMedReaksjon";"AntallReaksjoner"
"2016";"Innlandet";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.1 Produksjon av glass og glassprodukter";"23.13 Produksjon av emballasje og husholdningsartikler av glass og krystall";"1";"1";"2"
"2016";"Innlandet";"C Industri";"23 Produksjon av andre ikke-metallholdige mineralprodukter";"23.6 Produksjon av betong-, sement- og gipsprodukter";"23.63 Produksjon av ferdigblandet betong";"3";"1";"2"
"2016";"Innlandet";"C Industri";"24 Produksjon av metaller";"24.4 Produksjon av ikke-jernholdige metaller";"24.42 Produksjon av aluminium";"1";"0";"0"
"2016";"Innlandet";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.1 Produksjon av metallkonstruksjoner";"25.11 Produksjon av metallkonstruksjoner og deler";"5";"3";"5"
"2016";"Innlandet";"C Industri";"25 Produksjon av metallvarer, unntatt maskiner og utstyr";"25.9 Produksjon av andre metallvarer";"25.99 Produksjon av metallvarer ikke nevnt annet sted";"4";"3";"13"
"2016";"Innlandet";"C Industri";"31 Produksjon av møbler";"31.0 Produksjon av møbler";"31.02 Produksjon av kjøkkenmøbler";"1";"1";"3"
"2016";"Innlandet";"C Industri";"32 Annen industriproduksjon";"32.3 Produksjon av sportsartikler";"32.30 Produksjon av sportsartikler";"1";"1";"1"
"2016";"Innlandet";"E Vannforsyning, avløps- og renovasjonsvirksomhet";"37 Oppsamling og behandling av avløpsvann";"37.0 Oppsamling og behandling av avløpsvann";"37.00 Oppsamling og behandling av avløpsvann";"1";"1";"8"
"2016";"Innlandet";"F Bygge- og anleggsvirksomhet";"42 Anleggsvirksomhet";"42.1 Bygging av veier og jernbaner";"42.13 Bygging av bruer og tunneler";"1";"0";"0"
"2016";"Innlandet";"F Bygge- og anleggsvirksomhet";"42 Anleggsvirksomhet";"42.2 Bygging av vann- og kloakkanlegg, og anlegg for elektrisitet og telekommunikasjon";"42.22 Bygging av anlegg for elektrisitet og telekommunikasjon";"1";"0";"0"
"2016";"Innlandet";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.2 Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid";"43.29 Annet installasjonsarbeid";"2";"2";"3"
"2016";"Innlandet";"F Bygge- og anleggsvirksomhet";"42 Anleggsvirksomhet";"42.2 Bygging av vann- og kloakkanlegg, og anlegg for elektrisitet og telekommunikasjon";"42.21 Bygging av vann- og kloakkanlegg";"3";"2";"7"
"2016";"Innlandet";"F Bygge- og anleggsvirksomhet";"43 Spesialisert bygge- og anleggsvirksomhet";"43.2 Elektrisk installasjonsarbeid, VVS-arbeid og annet installasjonsarbeid";"43.22 VVS-arbeid";"21";"8";"12"
"2016";"Innlandet";"G Varehandel, reparasjon av motorvogner";"45 Handel med og reparasjon av motorvogner";"45.2 Vedlikehold og reparasjon av motorvogner, unntatt motorsykler";"45.20 Vedlikehold og reparasjon av motorvogner, unntatt motorsykler";"45";"38";"150"
"2016";"Innlandet";"G Varehandel, reparasjon av motorvogner";"45 Handel med og reparasjon av motorvogner";"45.3 Handel med deler og utstyr til motorvogner, unntatt motorsykler";"45.32 Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler";"1";"1";"3"
"2016";"Innlandet";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.2 Engroshandel med jordbruksråvarer og levende dyr";"46.21 Engroshandel med korn, råtobakk, såvarer og fôrvarer";"1";"1";"1"
"2016";"Innlandet";"G Varehandel, reparasjon av motorvogner";"46 Agentur- og engroshandel, unntatt med motorvogner";"46.3 Engroshandel med nærings- og nytelsesmidler";"46.31 Engroshandel med frukt og grønnsaker";"1";"1";"4"
